DOI,Year,Keywords
10.3897/BDJ.8.e56876,2020,biological invasion; competitive exclusion principle; metabarcoding; native salmonids; seasonal change
10.7717/peerj.4521,2018,Ecological communities; Metabarcoding; eDNA
10.1038/s41598-020-77304-7,2020,N/A
10.1038/s41598-018-37186-2,2019,N/A
10.1038/srep06561,2014,N/A
10.1073/pnas.0905756106,2009,N/A
10.1038/ncomms12544,2016,N/A
10.1002/ece3.11337,2024,biodiversity; biomonitoring; coral reef; diffusion; environmental DNA; scattered islands
10.1371/journal.pone.0045013,2012,N/A
10.1098/rsbl.2008.0454,2008,N/A
10.1371/journal.pone.0243363,2021,N/A
10.1038/s41598-021-86396-8,2021,N/A
10.7717/peerj.10231,2020,16S rRNA gene; 18S rRNA gene; Benthic monitoring; DNA extraction; Environmental DNA; Metabarcoding
10.7554/eLife.78521,2022,arthropods; ecology; environmental DNA; genetics; genomics; insect decline; metabarcoding
10.7717/peerj.3044,2017,Environmental monitoring; Estuarine; Marine; Metabarcoding; Metagenomics; Molecular ecology
10.1371/journal.pone.0287567,2023,N/A
10.1371/journal.pone.0262357,2022,N/A
10.1098/rstb.2023.0123,2024,Earth observation; biodiversity indices; environmental DNA; forestry; machine learning; systematic conservation planning
10.1111/jpy.13196,2021,Eustigmatophyceae; algal diversity; community structure; environmental DNA; metabarcoding; species diversity
10.1093/molbev/msy096,2018,N/A
10.1098/rsos.240724,2024,deep sea; diversity; global abundance; metabarcoding; metagenome; metazoan
10.1038/s41598-019-48546-x,2019,N/A
10.1038/s41598-021-89903-z,2021,N/A
10.1371/journal.pone.0049220,2012,N/A
10.1371/journal.pone.0021357,2011,N/A
10.1136/bmj.292.6522.746,1986,N/A
10.1002/ece3.6921,2020,PCR; eDNA; early detection; invasive non‐native species; metabarcoding; qPCR; targeted assay
10.1038/s42003-024-06695-4,2024,N/A
10.7717/peerj.6160,2019,Benchmark; Bioinformatics; Metabarcoding; Metabenchmark; Metagenomics; eDNA
10.1371/journal.pone.0298440,2024,N/A
10.1186/s40168-018-0521-5,2018,16S rRNA gene sequencing; Classification; ITS sequencing; Microbiome; Reference taxonomy; Taxonomic assignment
10.1038/s41598-020-59620-0,2020,N/A
10.3767/003158509X468443,2009,Dacrymycetes; Japanese species; molecular phylogeny; new species; taxonomy
10.1016/j.yjmcc.2007.07.045,2007,N/A
10.3389/fmicb.2021.637811,2021,aquaculture disturbance; bacterial community composition; bacterial diversity; community shifts; environmental DNA metabarcoding; environmental monitoring; organic enrichment; salmon farming
10.1038/s41396-019-0427-7,2019,N/A
10.7717/peerj.12157,2021,Anguilla; Environmental DNA; High-throughput sequencing; Metabarcoding; droplet digital PCR; eDNA
10.1038/s41598-018-27434-w,2018,N/A
10.1038/s41598-020-62555-1,2020,N/A
10.1186/1471-2229-10-258,2010,N/A
10.1093/nar/22.22.4673,1994,N/A
10.1002/ece3.10999,2024,biodiversity survey; eDNA; eukaryotes; fishes; metabarcoding
10.1371/journal.pone.0250783,2021,N/A
10.1038/s41598-020-75452-4,2020,N/A
10.1073/pnas.1220608110,2013,N/A
10.3390/biology11091297,2022,biodiversity conservation; community characterization; environmental DNA; soil eDNA; terrestrial ecosystems
10.1093/femsle/fnx155,2017,PPTase; Streptomyces albus; eDNA; environmental DNA; functional metagenomics; myxochelin
10.1038/ncomms14087,2017,N/A
10.7717/peerj.3347,2017,Bacteria (16S); Benthic ecology; Biomonitoring; Eukaryotes (18S); High-throughput sequencing; Method testing; Oil and gas activities; eDNA; eRNA
10.1038/ismej.2013.102,2013,N/A
10.1186/s13742-015-0086-1,2015,Biodiversity assessment; Environmental DNA; Genomic observatory; Metabarcoding
10.1186/s12859-019-2663-2,2019,Amplicon sequencing; High-throughput sequencing; Molecular ecology; Pipeline; Reproducibility; eDNA metabarcoding
10.1093/cz/zoab094,2022,Andrias davidianus; Chinese giant salamander; eDNA; metabarcoding; population survey
10.1002/aps3.1155,2018,ITS2; Ontario; Potamogetonaceae; aquatic plants; atpB‐rbcL; eDNA metabarcoding
10.1002/ece3.70110,2024,IBMWP; bulk samples; eDNA; ecological status; exotic species; macroinvertebrates
10.1038/s41598-017-17150-2,2017,N/A
10.3389/fpls.2023.1106617,2023,TRNL; distribution; diversity; environmental DNA; molecular methods; plant; soil
10.1093/bioinformatics/btr507,2011,N/A
10.3389/fpls.2019.01763,2019,Pasteuria; biocontrol; ecology; metabarcoding; nematode
10.3389/fmicb.2014.00358,2014,MGRAST; co-occurrence; community assembly; microbial communities; network theory
10.1038/ismej.2011.24,2011,N/A
10.1016/j.ese.2024.100409,2024,Community assembly mechanism; Community stability; Ecological network; Ecological water replenishment; Succession
10.1038/s41396-019-0417-9,2019,N/A
10.1038/ncomms14349,2017,N/A
10.1371/journal.pone.0148130,2016,N/A
10.1007/s13225-010-0053-1,2010,Agricultural soil; Diversity; Fungal communities; SCGI; Soil clone group I
10.1128/AEM.02874-09,2010,N/A
10.1093/jmammal/gyad096,2023,Chiroptera; Myotis dasycneme; environmental DNA (eDNA); high-throughput sequencing; intraspecific competition; metabarcoding
10.3390/genes11030296,2020,detection error; eDNA capture; eDNA detection; eDNA extraction; environmental DNA; genetic marker; water sampling
10.1093/aobpla/plac031,2022,DNA barcoding; DNA metabarcoding; environmental DNA (eDNA); molecular ecology; non-destructive biodiversity monitoring; plant conservation; population management
10.1111/1365-2656.12828,2018,DNA metabarcoding; generalisation; grassland; hoverfly; pollination; pollination networks; specialisation
10.1093/aob/mcp031,2009,N/A
10.3389/fimmu.2023.1156493,2023,aryl hydrocarbon receptor; benzo[a]pyrene; immunomodulation; indol-3-carbinol; innate immunity; macrophage activation; transcriptomics; type I/II interferons
10.1093/toxsci/kfr218,2011,N/A
10.1016/j.tox.2005.09.006,2006,N/A
10.3389/fgene.2022.886494,2022,connectivity; conservation planning; environmental DNA (eDNA); marine conservation; metabarcoding; population genomics
10.1126/sciadv.aaq0929,2018,N/A
10.1073/pnas.1216128109,2012,N/A
10.1186/s13104-023-06495-9,2023,Honey; ITS2; Metabarcoding; NCBI; OTU; Sequencing
10.7717/peerj.11753,2021,Agricultural expansion; Environmental DNA; Metabarcoding; National Park; Plant diversity
10.1038/s41598-020-67452-1,2020,N/A
10.1002/ece3.70022,2024,biological communities; environmental DNA; game animal; occupancy model; site use; wildlife survey
10.1038/s41598-020-73648-2,2020,N/A
10.3390/biology12091245,2023,18S V9; Corbicula fluminea; conventional field survey; eDNA metabarcoding; next-generation sequencing
10.1371/journal.pone.0058076,2013,N/A
10.1371/journal.pone.0032079,2012,N/A
10.1073/pnas.96.4.1463,1999,N/A
10.3897/BDJ.7.e37518,2019,French Guiana; South America; environmental genomics; metabarcoding
10.1002/ece3.7139,2021,16S; COI; ITS; biomonitoring; biosurveillance; eDNA metabarcoding; invasive alien species; salt trap solution
10.3389/fvets.2021.765606,2021,eDNA; environment; eukaryote; high-throughput sequencing; metabarcoding; pathogens
10.1111/1755-0998.13512,2022,Illumina sequencing; amplicon sequencing; biodiversity assessment; eDNA; environmental DNA; high-throughput sequencing; library preparation
10.1002/ece3.9457,2022,environmental DNA; fire regime; pyrodiversity; resource selection; scat
10.1002/ece3.3638,2018,CO1; blocking primer; diet; feral swine; metabarcoding; trnL
10.7717/peerj.2444,2016,Environmental impact assessment; Estuarine; Marine; Metabarcoding; Metagenomics; Molecular ecology
10.1002/ece3.6362,2020,arthropod; bat; environmental DNA; high‐throughput sequencing; predator feeding
10.1002/ece3.7113,2021,Lindgren funnel traps; cytochrome c oxidase subunit 1; environmental DNA; forest; introduced species; molecular identification; plant pest; salt buffer
10.3897/BDJ.12.e116921,2024,cytochrome c oxidase I gene; eukaryota; metabarcoding; river ecosystem; species occurrence
10.3390/plants12122383,2023,environmental DNA (eDNA); fungal pathogens; internal transcribed spacer (ITS); metabarcoding; mock communities; walnut dieback
10.1371/journal.pbio.1002352,2016,N/A
10.3767/003158509X457931,2009,Albuginales; effector gene; oospore morphology; phylogeny; plant pathogen; speciation
10.1105/tpc.107.051037,2007,N/A
10.1093/molbev/msw267,2017,Asia.; India; Megophryidae; amphibian; biogeography; phylogenetics; taxonomy; timetree
10.1371/journal.pone.0208592,2018,N/A
10.1371/journal.pone.0195403,2018,N/A
10.1002/ece3.8150,2021,MOTU; biomonitoring; coral reef diversity; environmental DNA; sampling variability; tropical marine ecosystems
10.1002/ece3.7057,2021,eDNA; megafauna; mobile species; pelagic
10.1038/srep13932,2015,N/A
10.1111/nph.14199,2017,environmental DNA (eDNA); lake sediments; metabarcoding; sedimentary DNA (sedDNA); vegetation change
10.3389/fmicb.2018.03243,2018,arctic vegetation; below-ground processes; fungal functional group; fungal trophic mode; snow fences; snow regime
10.1038/ismej.2013.104,2013,N/A
10.3390/ani13233687,2023,eDNA; freshwater environment; freshwater vertebrates; monitoring; terrestrial vertebrates
10.1093/biosci/biab120,2022,N/A
10.7554/eLife.85795,2023,community dynamics; ecology; environmental DNA; fish; information flow; interaction network; none; quantitative environmental DNA analysis
10.1093/conphys/cov011,2015,Climate change; coral reef fish; locomotory performance; predator–prey interaction
10.1371/journal.pone.0058520,2013,N/A
10.1523/JNEUROSCI.1435-08.2008,2008,N/A
10.3390/ani14111519,2024,amphibians; biodiversity; eDNA; island biogeography; metabarcoding; species richness; species–area relationship
10.3390/microorganisms11051307,2023,fungi; oomycetes; organic farming
10.1002/ece3.10612,2023,Lepidoptera; contamination; dietary studies; environmental DNA; false positives; metabarcoding
10.24272/j.issn.2095-8137.2022.195,2023,Adaptive mechanism; Cavefish; Intestinal microbes; Sinocyclocheilus
10.1002/ece3.11631,2024,COI; NUMTs; aquatic biodiversity; eDNA metabarcoding; intraspecific diversity
10.1038/s41598-018-32917-x,2018,N/A
10.3390/ani13111777,2023,coral reef; environmental DNA; fish community; functional diversity; mangrove; seagrass
10.1016/j.mex.2021.101303,2021,Amplicon sequence variants (ASV); ITS2; Illumina generated PhiX control library; Internal transcribed spacer 2; MiSeq platform; Naive bayesian classifier; Vacuum filtration
10.1038/srep42838,2017,N/A
10.1038/nature16532,2016,N/A
10.1111/ele.12121,2013,N/A
10.1007/s10453-022-09759-2,2022,Air; Biostatistics; Cyclones; Microbiology; eDNA
10.1371/journal.pone.0034076,2012,N/A
10.1007/s10393-009-0261-x,2009,N/A
10.1136/thx.48.3.244,1993,N/A
10.1016/j.csbj.2021.04.005,2021,"16S rRNA; AMBI, AZTI's marine biotic index; ASV, Amplicon Sequence Variants; AZE, allowable zone of effect, intermediate impact zone; BI, biotic index; BallWa, ballast water dataset; BasCo, Basque coast dataset; Biomonitoring; CE, cage edge; CV, Coefficient of Variance; DADA2, Divisive Amplicon Denoising Algorithm; EQ, environmental quality; Environmental DNA; FM, full model; MDS, multidimensional scaling; Machine learning; Marine; NEB, New England Biolabs; NW, north west; NorSa, Norway salmon dataset; OOB-error, out-of-bag error estimate; PCR, polymerase chain reaction; REF, reference site; RF, random forest algorithm; SML, supervised machine learning; ScoSa, Scottish salmon farm dataset; V3-V4, hypervariable gene regions of the 16s rRNA; bp, base pairs; eDNA, environmental deoxyribonucleic acid; microgAMBI, AZTI's marine biotic index based on microbial genes; mtry, numbers of variables tried at each split; n, number; rRNA, small subunit prokaryotic ribosomal ribonucleic acid"
10.3389/fmicb.2018.03054,2018,aquaculture microbiology; bacterial communities; benthic indicators; biodiversity; biomarkers; flocculent matter; waste products
10.1002/ece3.10800,2023,diet; eDNA; human activities; invasive species; land‐use; native species; stable isotopes
10.1038/s41559-021-01542-9,2021,N/A
10.1038/ncomms12485,2016,N/A
10.1073/pnas.1033107100,2003,N/A
10.1093/gigascience/giac066,2022,amplicon sequencing; eDNA; environmental DNA; meta-analysis; metabarcoding; microbiome
10.1002/ece3.9800,2023,Mediterranean; catadromous; connectivity; dams; distribution; eDNA; eel management plans; intermittent; island; policy
10.1371/journal.pntd.0010234,2022,N/A
10.1007/s00442-022-05254-0,2022,DNA metabarcoding; Floral preferences; Native bees; Trap nests; Urbanisation
10.1098/rstb.2009.0243,2010,N/A
10.1073/pnas.0706375104,2007,N/A
10.3390/microorganisms12030507,2024,16S rRNA; POME; bioinformatics; metabarcoding; microbiome; palm oil
10.21315/tlsr2018.29.2.10,2018,Biodegradation; Industry; MALPOM Sdn. Bhd.; Malaysia; Microbiota; Palm Oil Mill Effluent (POME); Wastewater
10.1016/j.sjbs.2012.04.005,2012,Microalgae; Wastewater treatment
10.3390/biology12111446,2023,biodiversity; biomass; conservation; coral reefs; hotspot; mesophotic slope
10.1371/journal.pone.0203012,2019,N/A
10.1073/pnas.1317745111,2014,biodiversity; biological invasion; colonization; extinction
10.1111/1755-0998.13459,2022,Ctenophora; barcoding; biodiversity; cytochrome-c oxidase; eDNA; metabarcoding; primers
10.1098/rsos.231286,2024,biomonitoring; invertebrate-derived DNA; metabarcoding; terrestrial vertebrate
10.1186/s12983-015-0115-z,2015,N/A
10.1098/rspb.1999.0686,1999,N/A
10.1002/ece3.6071,2020,ballast water; environmental DNA; environmental monitoring; invasive species; metabarcoding; nonindigenous species; port biological baseline surveys
10.1002/ece3.8884,2022,community assembly; eDNA; environmental filtering; environmental heterogeneity; fish; hypoxia
10.3390/jof1010076,2015,ECM; Internal Transcribed Spacer; Large Subunit of the ribosomal RNA gene; ectomycorrhiza; environmental DNA; sporocarp
10.1128/AEM.70.5.2692-2701.2004,2004,N/A
10.1007/s10453-022-09760-9,2022,Fungi; ITS1; ITS2; Metabarcoding; Microscopy; Unmanaged grassland
10.3389/fmicb.2017.00001,2017,microbial interactions; microbiome; soil microbiology; volatile organic compounds
10.1038/ismej.2015.42,2015,N/A
10.1093/femsec/fiv042,2015,aliphatic hydrocarbon degradation; methanogenesis; sulphidogenesis
10.1016/j.envint.2014.06.006,2014,Biomarker; Global DNA methylation; Placenta; Sex; TEXB; Xenoestrogens
10.1289/ehp.0901429,2010,N/A
10.1016/j.gene.2008.04.007,2008,N/A
10.1371/journal.pone.0296310,2024,N/A
10.1016/j.wroa.2023.100194,2023,Aquaculture; Bacterial pathogen database; Coastal monitoring; Environmental DNA metabarcoding; Pathogen surveillance
10.1007/s00253-023-12993-4,2024,Community assembly; Meio- and micro-eukaryotic composition; Species interactions; Stochastic and deterministic processes; Three Gorges Reservoir
10.1186/s40168-021-01079-w,2021,Community ecology; Core taxa; Deterministic processes; Microeukaryotic plankton; Network stability; Salinity; Satellite taxa; Stochastic processes; Subtropical reservoir
10.1038/s41396-019-0522-9,2020,N/A
10.1136/pgmj.65.766.515,1989,N/A
10.1093/gigascience/giz029,2019,environmental DNA; invertebrate-derived -DNA; leeches; metabarcoding
10.3390/microorganisms7110493,2019,DNA barcoding; ITS1-5.8S-ITS2; cryptic species; metabarcode; mitochondrial COI; rDNA; secondary structure
10.1186/s12866-017-1103-6,2017,Ciliate; Deep sea; Depth gradient; Protozoa; Seamount; Vertical distribution
10.1186/1471-2180-13-150,2013,N/A
10.1128/AEM.69.9.5656-5663.2003,2003,N/A
10.1038/ismej.2016.38,2016,N/A
10.1093/nar/gkf436,2002,N/A
10.1111/1755-0998.13703,2023,Arthropoda; DNA barcoding; Insecta; biomonitoring; community composition; environmental DNA; internal standard; polymerase chain reaction; taxonomic bias
10.3389/fmicb.2022.1020491,2022,biomonitoring; hyperarid coast; microbial networks; predicted functions; sediments microbial gradient; trace metals
10.3389/fmars.2020.00548,2020,capacity-building; coastal acidification; coral; crustaceans; hypoxia; shellfish; stakeholders
10.1073/pnas.1007273107,2010,N/A
10.1002/ece3.9358,2022,DNA metabarcoding; diet estimation; environmental DNA; method comparison; primates; seasonal variation
10.7717/peerj.15425,2023,Bacterial indicators; Benthic monitoring; Organic enrichment; Quantile regression splines; Salmon farms; Supervised machine learning; eDNA metabarcoding
10.1128/mBio.00326-15,2015,N/A
10.1128/AEM.03069-09,2010,N/A
10.1111/mec.16375,2022,DNA metabarcoding; Invertebrates; environmental DNA; monitoring; restoration; trajectory
10.1073/pnas.1002490107,2010,N/A
10.1093/molbev/msy074,2018,N/A
10.1186/1471-2105-11-341,2010,N/A
10.1038/nature03959,2005,N/A
10.1038/s41598-018-22505-4,2018,N/A
10.7717/peerj.12845,2022,Arthropods; Biodiversity; Environmental DNA; Metabarcoding; NGS; Soil
10.1371/journal.pone.0178548,2017,N/A
10.1371/journal.pone.0125635,2015,N/A
10.1371/journal.pone.0037945,2012,N/A
10.7717/peerj.14321,2022,Invertebrates; Marine sediments; Metabarcoding; Taxonomy; eDNA
10.1111/1755-0998.12956,2019,Crangon crangon; DNA; biodiversity monitoring; environmental assessment; fish communities; trophic metabarcoding
10.1111/1755-0998.13674,2022,18S rRNA; PCR; R; database; metabarcodes; protist; shiny
10.1186/1741-7007-7-72,2009,N/A
10.1002/ece3.2667,2017,cytochrome oxidase subunit I; environmental DNA; metabarcoding; mitochondrial 16S ribosomal DNA; nuclear 18S rDNA; zooplankton
10.1186/s12898-019-0260-x,2019,Abiotic gradients; Biotic factors; Continuity; Denmark; Disturbance; Moisture; Productivity; eDNA
10.1038/s41598-018-27933-w,2018,N/A
10.1093/femsec/fiae059,2024,Arctic glacial fjord; eDNA metabarcoding; heterotrophic bacteria; phycosphere; phytoplankton variability; rRNA
10.3389/fmicb.2014.00311,2014,DMSP; Roseobacter; dinoflagellates; polyhydroxyalkanoates; symbiosis; transcriptome; vitamin B 12
10.3389/fmicb.2013.00336,2013,Roseobacter; acyl-homoserine lactones; biogeochemical cycles; marine bacteria; quorum sensing
10.1016/j.jmb.2007.04.052,2007,N/A
10.1093/gigascience/giac065,2022,arthropods; biodiversity big data integration; biodiversity inventory; comparability; data generation; harmonization; metabarcoding; modular structure; reproducibility
10.1038/s41598-019-41680-6,2019,N/A
10.1038/ismej.2011.213,2012,N/A
10.7717/peerj.5468,2018,Environmental DNA; Metabarcoding; Microbes
10.1371/journal.pone.0039971,2012,N/A
10.1002/ece3.4858,2019,Myliobatidae; manta rays; metabarcoding; prey
10.1371/journal.pone.0082227,2013,N/A
10.1073/pnas.0608477104,2007,N/A
10.1098/rsbl.2014.0562,2014,DNA barcoding; DNA metabarcoding; cytochrome oxidase I
10.1111/j.1365-294X.2012.05542.x,2012,N/A
10.1098/rspb.2012.0697,2012,N/A
10.1111/1755-0998.13071,2019,Malaise traps; environmental DNA; insects; metabarcoding; nondestructive extraction; preservative ethanol
10.1093/nar/gkh120,2004,N/A
10.1002/ece3.10187,2023,Barents Sea; bootstrapping; environmental DNA; fisheries management; predator; sampling protocol
10.1098/rsbl.2015.0408,2015,Kerguelen Islands; environmental DNA; invasive species; metabarcoding; soil communities
10.3389/finsc.2023.1134781,2023,Apis mellifera; DNA metabarcoding; Vespa mandarinia; diet analysis; environmental DNA; fecal pellet; giant hornet; invasive species
10.7717/peerj.10690,2021,Asian giant hornet; Dispersal simulation; Ecological niche modeling; Invasive species; Pollinator threats
10.1038/s41598-018-38338-0,2019,N/A
10.1098/rsbl.2017.0125,2017,bee; climate change; critical thermal maximum; heat tolerance; pollinator; urban warming
10.1016/j.ese.2021.100122,2021,Automatization; High-throughput sequencing; Pipetting robot; Standardization
10.1093/gigascience/giac020,2022,diet analysis; environmental DNA; generalist predators; gut content analysis
10.1002/ece3.4520,2018,DNA barcoding; diet analysis; environmental DNA; high‐throughput sequencing; next‐generation sequencing; primer bias
10.1371/journal.pone.0128122,2015,N/A
10.3897/BDJ.12.e119660,2024,FAIR data; accessibility; biogeography; controlled vocabulary terms; database; dynamic hierarchical data; environmental DNA; fungal biodiversity; fungal distribution; geospatial maps; information visualisation; mycodiversity; reusability
10.1007/s12088-016-0606-4,2016,High throughput sequencing; NGS; Second generation sequencing; Sequencing platforms; Third generation sequencing
10.1042/bj1770595,1979,N/A
10.3390/molecules28052106,2023,DNA metabarcoding; DNA-based methods; environmental DNA; honey
10.3390/biology10121289,2021,Andes; environmental DNA; forest ecosystems tropical mycobiota vulnerable species; fungal biodiversity; metabarcoding; natural reserve
10.3390/genes10050325,2019,Burkholderia; Penicillium; comparative genomics; diffusion chamber; metagenomics; microbial trap; uranium resistance; whole genome sequence
10.1128/AEM.00376-10,2010,N/A
10.3390/jof8040330,2022,ASVs; DNA sequencing; Illumina; botanical garden; citrus orchards; detection; eDNA; leaf baiting; metabarcoding; nature reserve; new species; rhizosphere soil
10.1371/journal.pone.0131069,2015,N/A
10.1371/journal.pone.0114031,2014,N/A
10.1099/mic.0.052555-0,2012,N/A
10.1128/AEM.01059-07,2007,N/A
10.1093/femsmc/xtae003,2024,DNA metabarcoding; India; ciliates; diversity; freshwater
10.1111/1755-0998.13425,2021,environmental DNA; faeces; grouse; plants; shotgun sequencing
10.1186/s13007-019-0534-5,2020,Chloroplast; Genome skimming; Herbarium specimens; Next-generation sequencing; Pilbara; Plant DNA barcoding; Plastid genome
10.1186/s13007-018-0300-0,2018,DNA barcoding; Degraded DNA; Genome skimming; Herbarium specimens; Plastid genome; rDNA
10.1093/nar/gkx361,2017,N/A
10.1073/pnas.1513696112,2015,adaptation; ancient genomics; horse; population discontinuity; regulatory changes
10.1093/molbev/msaa245,2021,DM10; LRR–PL region; autoimmunity; hybrid incompatibility; interchromosomal relocation; singleton NLR
10.1101/gr.159402,2002,N/A
10.1098/rsos.231518,2024,Lagopus lagopus; alpine bird; dietary study; environmental DNA; remote sensing
10.1186/s12898-018-0196-6,2018,Distance sampling; Habitat suitability map; Line transect survey; Predictions; Resource selection function
10.1016/j.apgeog.2016.09.025,2016,elk; habitat model; species distribution model map
10.1098/rstb.2010.0087,2010,N/A
10.1098/rstb.2010.0077,2010,N/A
10.2193/2006-566,N/A,N/A
10.7717/peerj.5999,2019,Bumblebees; Conservation; DNA barcoding; Halictidae; Metabarcoding; Plant–pollinator interactions; Second-generation sequencing; Sown wildflower strips; eDNA; rbcL
10.1371/journal.pone.0104679,2014,N/A
10.1073/pnas.0806040105,2008,N/A
10.1073/pnas.1209160109,2012,N/A
10.1186/s13568-015-0124-5,2015,N/A
10.1128/AEM.02157-10,2011,N/A
10.1002/ece3.6477,2020,PacBio; environmental DNA; high‐throughput sequencing; metabarcoding; neotropical biodiversity; third‐generation sequencing
10.1111/j.1365-2699.2011.02585.x,2011,N/A
10.1371/journal.pone.0002932,2008,N/A
10.1073/pnas.0609334103,2006,N/A
10.1111/mec.14886,2019,community ecology; crustaceans; diet analysis; environmental DNA; food webs; metabarcoding
10.1186/1742-9994-10-1,2013,N/A
10.1371/journal.pone.0018912,2011,N/A
10.1073/pnas.0803898105,2008,N/A
10.1029/2008JC004864,N/A,N/A
10.1029/2001GL013212,N/A,N/A
10.1098/rspb.2021.2690,2022,community diversity; empirical dynamic modelling; environmental DNA; interaction network; quantitative metabarcoding
10.1073/pnas.1417063112,2015,ecosystem forecasting; empirical dynamic modeling; fisheries ecology; nonlinear dynamics; physical–biological interactions
10.1093/ismeco/ycae012,2024,algae; bacteria; bark surface; community ecology; environmental DNA; forest; fungi; metabarcoding; microbial ecology; microbiome
10.1038/s41396-022-01269-w,2022,N/A
10.3389/fmicb.2018.01752,2018,Aircraft Bioaerosol Collector (ABC); C-20A; bacteria; bioaerosols; stratosphere; troposphere
10.1128/AEM.01690-15,2015,N/A
10.1038/s41598-021-97619-3,2021,N/A
10.1371/journal.pone.0134735,2015,N/A
10.1002/ece3.1293,2014,Apis mellifera; Countryside Survey; beebread; carbohydrate; land use; nutritional ecology; protein
10.1073/pnas.1537557100,2003,N/A
10.1086/681978,2015,N/A
10.3390/jof8090980,2022,DNA barcoding; environmental DNA; high-throughput nucleotide sequencing; phylogeny; plant pathogen
10.3390/microorganisms9010150,2021,community composition; ectomycorrhiza; fungal diversity; oomycetes; pathogens; tree seedlings
10.1111/mec.16689,2023,DNA metabarcoding; ecosystem change; environmental DNA; global change ecology; metagenomics; pollen; pollination
10.1002/ece3.4234,2018,agri‐environment schemes; pollen transport networks; solitary bees; wildflower seed mixtures
10.1186/s12859-015-0595-z,2015,N/A
10.1128/AEM.01541-09,2009,N/A
10.1002/ece3.3687,2018,DNA extraction; PCR; batch effect; bias; environmental DNA; laboratory practice; lake community; metabarcoding; nondemonic intrusions; sediment
10.1186/s12915-014-0087-z,2014,N/A
10.1128/JCM.41.10.4796-4798.2003,2003,N/A
10.1007/s10928-007-9063-3,2007,N/A
10.1111/1462-2920.16081,2022,N/A
10.1038/s41467-019-10656-5,2019,N/A
10.1186/s40168-018-0491-7,2018,N/A
10.1038/ismej.2014.196,2015,N/A
10.1105/tpc.13.4.935,2001,N/A
10.1186/s12862-022-02004-x,2022,Biodiversity; Environmental DNA; Taxonomic composition
10.1093/aob/mcp122,2009,N/A
10.1093/aob/mcs063,N/A,N/A
10.1093/aob/mcs016,2012,N/A
10.1093/aob/mcp235,2009,N/A
10.1093/aob/mcv074,2015,Antioxidants; RNS; ROS; arabidopsis; autophagy; nitric oxide; nitrosative stress; oxidative stress; peroxisomes; photorespiration; reactive nitrogen species; reactive oxygen species; signalling; β-oxidation
10.1093/gigascience/gix053,2017,GenBank; invertebrate-derived (iDNA); metabarcoding; taxonomic assignment
10.1098/rspb.2018.2697,2019,autonomous reef monitoring structures; coral reefs; cytochrome oxidase I; eDNA biodiversity; reef cryptobiome
10.3390/biology12020275,2023,Antarctica; environmental DNA; extremophiles; fungi; metabarcoding; taxonomy
10.1128/AEM.02637-17,2018,aerobiology; fungal dispersion; fungal diversity; metabarcoding
10.1111/j.1476-5381.1995.tb14990.x,1995,N/A
10.3390/jof7040293,2021,Tuber; environmental DNA; hypogeous fungi; next-generation sequencing; soil fungal community
10.7717/peerj.6421,2019,Ectomycorrhizae; Microbial communities; Quercus acutissima; Soil properties; Truffles; Tuber indicum
10.1371/journal.pone.0175720,2017,N/A
10.7717/peerj.2606,2016,Bacterial endophytes; Burkholderia; Plant functional traits; Plant morphology; Populus trichocarpa; Pseudomonas fluorescens; Trait plasticity
10.3389/fpls.2016.00497,2016,Burkholderia; Populus deltoides; Pseudomonas; microbiome; plant-microbe interactions
10.3389/fmicb.2014.00283,2014,abiotic stress; agriculture; drought; plant growth promotion; plant–microbe interactions; symbiosis
10.1073/pnas.0504423102,2005,N/A
10.1098/rsos.160296,2016,Antarctica; environmental DNA; gradient; high-throughput sequencing; invertebrates; salinity
10.4161/psb.6.1.14191,2011,N/A
10.1007/s11004-005-7383-7,N/A,N/A
10.1113/jphysiol.1982.sp014295,1982,N/A
10.1038/s41598-020-58228-8,2020,N/A
10.1002/ece3.8281,2021,DNA barcoding; DNA metabarcoding; environmental DNA; metagenomics; pollen; whole‐genome shotgun sequencing
10.3389/fpls.2014.00209,2014,bioinformatics; host–microbe interactions; metagenome; microbial diversity; microbiome; microbiota; review
10.1038/nature08586,2009,N/A
10.1073/pnas.91.7.2527,1994,N/A
10.1016/j.marpol.2017.08.014,2017,Early detection; Environmental DNA; Good environmental status; High throughput sequencing; Marine Strategy Framework Directive; Marine invasive species; Metabarcoding; Monitoring; Surveillance
10.1264/jsme2.ME11304,2012,N/A
10.1128/AEM.69.4.1928-1935.2003,2003,N/A
10.1016/j.isci.2024.109476,2024,Ecology; Environmental Biotechnology; Environmental science
10.1038/s41598-024-56930-5,2024,Aquatic insects; Morphology; Species delimitation; Stoneflies; Water monitoring
10.1002/ece3.6733,2020,Lepidoptera; cytochrome c oxidase subunit I; glacial refugia; intraspecific genetic divergence
10.1371/journal.pone.0108651,2014,N/A
10.1111/cobi.13849,2022,actividad antropogénica; anthropogenic activity; coastal water bodies; cuerpos de agua costeros; environmental DNA metabarcoding; estuario; estuary; land use; metasecuenciación de ADN ambiental; uso de suelo
10.1038/s42003-018-0119-2,2018,N/A
10.1002/ece3.1485,2015,Biodiversity; high-throughput sequencing; metabarcoding; mock community; nSSU; zooplankton
10.3390/biology13060414,2024,Antarctica; eDNA; environmental drivers; fungi
