DOI,Year,Keywords,MeSH Terms,Major Topics,Subheadings,Journal Abbreviation,Affiliation,Country,Grants,Authors,Publisher
10.1002/ece3.10999,2024,biodiversity survey; eDNA; eukaryotes; fishes; metabarcoding,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Pablo Saenz-Agudelo; Paula Ramirez; Ricardo Beldade; Ana N Campoy; Vladimir Garmendia; Francesca V Search; Miriam Fernández; Evie A Wieters; Sergio A Navarrete; Mauricio F Landaeta; Alejandro Pérez-Matus,N/A
10.1371/journal.pone.0250783,2021,N/A,"Lakes; Geologic Sediments; Rna, Ribosomal, 16S; Bacteria; Dna, Environmental; Microbiota; Dna, Bacterial; Biodiversity; Dna Barcoding, Taxonomic","Lakes; Geologic Sediments; Rna, Ribosomal, 16S; Bacteria",Microbiology; Microbiology; Genetics; Genetics; Classification; Genetics; Analysis; Genetics; Genetics; Methods,PLoS One,N/A,United States,N/A,John K Pearman; Georgia Thomson-Laing; Jamie D Howarth; Marcus J Vandergoes; Lucy Thompson; Andrew Rees; Susanna A Wood,N/A
10.1038/s41598-020-75452-4,2020,N/A,"Animals; Biodiversity; Costa Rica; Dna Barcoding, Taxonomic; Dna, Environmental; Forests; Invertebrates; Soil; Tropical Climate","Biodiversity; Dna Barcoding, Taxonomic; Forests; Invertebrates; Soil",N/A,Sci Rep,N/A,England,N/A,Katie M McGee; Teresita M Porter; Michael Wright; Mehrdad Hajibabaei,N/A
10.1073/pnas.1220608110,2013,N/A,Agriculture; Animals; Bacteria; Biodiversity; Brazil; Cattle; Ecosystem; Humans; Phylogeny; Rain; Soil Microbiology; Trees; Tropical Climate,Agriculture; Biodiversity; Soil Microbiology; Tropical Climate,Classification; Genetics; Isolation & Purification,Proc Natl Acad Sci U S A,N/A,United States,N/A,Jorge L M Rodrigues; Vivian H Pellizari; Rebecca Mueller; Kyunghwa Baek; Ederson da C Jesus; Fabiana S Paula; Babur Mirza; George S Hamaoui; Siu Mui Tsai; Brigitte Feigl; James M Tiedje; Brendan J M Bohannan; Klaus Nüsslein,N/A
10.3390/biology11091297,2022,biodiversity conservation; community characterization; environmental DNA; soil eDNA; terrestrial ecosystems,N/A,N/A,N/A,Biology (Basel),N/A,Switzerland,N/A,Shahnawaz Hassan; Peter Poczai; Bashir Ah Ganai; Waleed Hassan Almalki; Abdul Gafur; R Z Sayyed,N/A
10.1093/femsle/fnx155,2017,PPTase; Streptomyces albus; eDNA; environmental DNA; functional metagenomics; myxochelin,"Bacterial Proteins; Biological Products; Cloning, Molecular; Cosmids; Escherichia Coli; Genes, Bacterial; Genetic Complementation Test; Genomic Library; Metagenome; Metagenomics; Multigene Family; Peptide Synthases; Phylogeny; Piperidones; Soil Microbiology; Streptomyces; Transferases (Other Substituted Phosphate Groups)","Genes, Bacterial; Multigene Family",Classification; Genetics; Methods; Genetics; Genetics; Genetics; Metabolism; Genetics; Classification; Genetics,FEMS Microbiol Lett,N/A,England,R01 GM115331; U01 GM110714,J Kipchirchir Bitok; Christophe Lemetre; Melinda A Ternei; Sean F Brady,N/A
10.1038/ncomms14087,2017,N/A,"Bacteria; Biodiversity; Dna; Dna Barcoding, Taxonomic; Lakes",N/A,Classification; Genetics; Isolation & Purification; Genetics; Chemistry; Microbiology,Nat Commun,N/A,England,N/A,Iliana Bista; Gary R Carvalho; Kerry Walsh; Mathew Seymour; Mehrdad Hajibabaei; Delphine Lallias; Martin Christmas; Simon Creer,N/A
10.7717/peerj.3347,2017,Bacteria (16S); Benthic ecology; Biomonitoring; Eukaryotes (18S); High-throughput sequencing; Method testing; Oil and gas activities; eDNA; eRNA,N/A,N/A,N/A,PeerJ,N/A,United States,N/A,Olivier Laroche; Susanna A Wood; Louis A Tremblay; Gavin Lear; Joanne I Ellis; Xavier Pochon,N/A
10.1038/ismej.2013.102,2013,N/A,"Bacteria; Ecology; Ecosystem; Environmental Microbiology; Microbiota; Rna, Ribosomal",Ecosystem; Environmental Microbiology,Genetics; Growth & Development; Metabolism; Methods; Trends; Genetics; Metabolism,ISME J,N/A,England,N/A,Steven J Blazewicz; Romain L Barnard; Rebecca A Daly; Mary K Firestone,N/A
10.1186/s13742-015-0086-1,2015,Biodiversity assessment; Environmental DNA; Genomic observatory; Metabarcoding,Animals; Biodiversity; Dna; Multigene Family,Biodiversity; Multigene Family,Genetics,Gigascience,N/A,United States,N/A,Alexei J Drummond; Richard D Newcomb; Thomas R Buckley; Dong Xie; Andrew Dopheide; Benjamin Cm Potter; Joseph Heled; Howard A Ross; Leah Tooman; Stefanie Grosser; Duckchul Park; Nicholas J Demetras; Mark I Stevens; James C Russell; Sandra H Anderson; Anna Carter; Nicola Nelson,N/A
10.1186/s12859-019-2663-2,2019,Amplicon sequencing; High-throughput sequencing; Molecular ecology; Pipeline; Reproducibility; eDNA metabarcoding,"Algorithms; Dna Barcoding, Taxonomic; Internet; Reproducibility Of Results; Software; User-Computer Interface",Internet; Software,Methods,BMC Bioinformatics,N/A,England,31003A \ _159709; Monitoring marine biodiversity in the genomic era,Yoann Dufresne; Franck Lejzerowicz; Laure Apotheloz Perret-Gentil; Jan Pawlowski; Tristan Cordier,N/A
10.1093/cz/zoab094,2022,Andrias davidianus; Chinese giant salamander; eDNA; metabarcoding; population survey,N/A,N/A,N/A,Curr Zool,N/A,England,N/A,Jie Wang; Ping Liu; Jiang Chang; Cheng Li; Feng Xie; Jianping Jiang,N/A
10.1002/aps3.1155,2018,ITS2; Ontario; Potamogetonaceae; aquatic plants; atpB‐rbcL; eDNA metabarcoding,N/A,N/A,N/A,Appl Plant Sci,N/A,United States,N/A,Maria L Kuzmina; Thomas W A Braukmann; Evgeny V Zakharov,N/A
10.1002/ece3.70110,2024,IBMWP; bulk samples; eDNA; ecological status; exotic species; macroinvertebrates,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Álvaro Fueyo; Omar Sánchez; Carlos Carleos; Amando Escudero; Javier Cordón; Javier Granero-Castro; Yaisel Juan Borrell,N/A
10.1038/s41598-017-17150-2,2017,N/A,"Animals; Biodiversity; Caribbean Region; Conservation Of Natural Resources; Dna Barcoding, Taxonomic; Dna, Ribosomal; Ecosystem; Elasmobranchii; Electron Transport Complex Iv; Gene Library; Seawater; Sequence Analysis, Dna",Biodiversity,Methods; Chemistry; Genetics; Metabolism; Classification; Genetics; Genetics; Chemistry,Sci Rep,N/A,England,N/A,Judith Bakker; Owen S Wangensteen; Demian D Chapman; Germain Boussarie; Dayne Buddo; Tristan L Guttridge; Heidi Hertler; David Mouillot; Laurent Vigliola; Stefano Mariani,N/A
10.3389/fpls.2023.1106617,2023,TRNL; distribution; diversity; environmental DNA; molecular methods; plant; soil,N/A,N/A,N/A,Front Plant Sci,N/A,Switzerland,N/A,Martti Vasar; John Davison; Mari Moora; Siim-Kaarel Sepp; Sten Anslan; Saleh Al-Quraishy; Mohammad Bahram; C Guillermo Bueno; Juan José Cantero; Ezequiel Chimbioputo Fabiano; Guillaume Decocq; Rein Drenkhan; Lauchlan Fraser; Jane Oja; Roberto Garibay-Orijel; Inga Hiiesalu; Kadri Koorem; Ladislav Mucina; Maarja Öpik; Sergei Põlme; Meelis Pärtel; Cherdchai Phosri; Marina Semchenko; Tanel Vahter; Jiři Doležal; Aida M Vasco Palacios; Leho Tedersoo; Martin Zobel,N/A
10.1093/bioinformatics/btr507,2011,N/A,"Chromosomes, Human, Pair 14; Genome; Genomics; Humans; Sequence Analysis, Dna; Software; Staphylococcus Aureus","Sequence Analysis, Dna; Software",Methods; Genetics,Bioinformatics,N/A,England,R01 HG006677; R01 GM083873; R01-LM006845; R01 HG006102; R01-GM083873; R01 LM006845,Tanja Magoč; Steven L Salzberg,N/A
10.3389/fpls.2019.01763,2019,Pasteuria; biocontrol; ecology; metabarcoding; nematode,N/A,N/A,N/A,Front Plant Sci,N/A,Switzerland,N/A,Jamie N Orr; Roy Neilson; Thomas E Freitag; David M Roberts; Keith G Davies; Vivian C Blok; Peter J A Cock,N/A
10.3389/fmicb.2014.00358,2014,MGRAST; co-occurrence; community assembly; microbial communities; network theory,N/A,N/A,N/A,Front Microbiol,N/A,Switzerland,N/A,Ryan J Williams; Adina Howe; Kirsten S Hofmockel,N/A
10.1038/ismej.2011.24,2011,N/A,"Alveolata; Ammonia; Archaea; Bacteria; California; Marine Biology; Oceans And Seas; Plankton; Polymerase Chain Reaction; Seawater; Sequence Analysis, Dna; Stramenopiles",N/A,Classification; Genetics; Isolation & Purification; Metabolism; Metabolism; Classification; Genetics; Isolation & Purification; Metabolism; Classification; Genetics; Isolation & Purification; Metabolism; Classification; Isolation & Purification; Metabolism; Microbiology; Parasitology; Classification; Genetics; Isolation & Purification; Metabolism,ISME J,N/A,England,N/A,Joshua A Steele; Peter D Countway; Li Xia; Patrick D Vigil; J Michael Beman; Diane Y Kim; Cheryl-Emiliane T Chow; Rohan Sachdeva; Adriane C Jones; Michael S Schwalbach; Julie M Rose; Ian Hewson; Anand Patel; Fengzhu Sun; David A Caron; Jed A Fuhrman,N/A
10.1016/j.ese.2024.100409,2024,Community assembly mechanism; Community stability; Ecological network; Ecological water replenishment; Succession,N/A,N/A,N/A,Environ Sci Ecotechnol,N/A,Netherlands,N/A,Shuping Wang; Songsong Gu; Yaqun Zhang; Ye Deng; Wenhui Qiu; Qianhang Sun; Tianxu Zhang; Pengyuan Wang; Zhenguang Yan,N/A
10.1038/s41396-019-0417-9,2019,N/A,Biomass; Cyanobacteria; Ecosystem; Eukaryota; Eutrophication; Phylogeny; Plankton,N/A,Classification; Genetics; Growth & Development; Isolation & Purification; Classification; Genetics; Growth & Development; Isolation & Purification; Classification; Genetics; Growth & Development; Isolation & Purification,ISME J,N/A,England,N/A,Lemian Liu; Huihuang Chen; Min Liu; Jun R Yang; Peng Xiao; David M Wilkinson; Jun Yang,N/A
10.1038/ncomms14349,2017,N/A,Bacteria; Biomass; Biota; Carbon; Environmental Restoration And Remediation; Food Chain; Fungi; Soil; Soil Microbiology,Biomass; Food Chain; Soil Microbiology,Metabolism; Physiology; Chemistry; Metabolism; Chemistry,Nat Commun,N/A,England,N/A,Elly Morriën; S Emilia Hannula; L Basten Snoek; Nico R Helmsing; Hans Zweers; Mattias de Hollander; Raquel Luján Soto; Marie-Lara Bouffaud; Marc Buée; Wim Dimmers; Henk Duyts; Stefan Geisen; Mariangela Girlanda; Rob I Griffiths; Helene-Bracht Jørgensen; John Jensen; Pierre Plassart; Dirk Redecker; Rűdiger M Schmelz; Olaf Schmidt; Bruce C Thomson; Emilie Tisserant; Stephane Uroz; Anne Winding; Mark J Bailey; Michael Bonkowski; Jack H Faber; Francis Martin; Philippe Lemanceau; Wietse de Boer; Johannes A van Veen; Wim H van der Putten,N/A
10.1371/journal.pone.0148130,2016,N/A,Fungi; Microbiota; Soil; Soil Microbiology,Soil; Soil Microbiology,Physiology; Physiology,PLoS One,N/A,United States,N/A,Julia Moll; Björn Hoppe; Stephan König; Tesfaye Wubet; François Buscot; Dirk Krüger,N/A
10.1007/s13225-010-0053-1,2010,Agricultural soil; Diversity; Fungal communities; SCGI; Soil clone group I,N/A,N/A,N/A,Fungal Divers,N/A,China,N/A,Sylvia Klaubauf; Erich Inselsbacher; Sophie Zechmeister-Boltenstern; Wolfgang Wanek; Richard Gottsberger; Joseph Strauss; Markus Gorfer,N/A
10.1128/AEM.02874-09,2010,N/A,"Bacteria; Base Sequence; Climate Change; Dna Primers; Dna, Bacterial; Dna, Fungal; Ecosystem; Fungi; Models, Biological; Phylogeny; Rna, Bacterial; Rna, Fungal; Rna, Ribosomal, 16S; Rna, Ribosomal, 28S; Soil Microbiology",Climate Change; Soil Microbiology,Classification; Genetics; Isolation & Purification; Genetics; Genetics; Isolation & Purification; Genetics; Isolation & Purification; Classification; Genetics; Isolation & Purification; Genetics; Genetics; Genetics; Genetics,Appl Environ Microbiol,N/A,United States,N/A,Hector F Castro; Aimée T Classen; Emily E Austin; Richard J Norby; Christopher W Schadt,N/A
10.1093/jmammal/gyad096,2023,Chiroptera; Myotis dasycneme; environmental DNA (eDNA); high-throughput sequencing; intraspecific competition; metabarcoding,N/A,N/A,N/A,J Mammal,N/A,England,N/A,Anne-Jifke Haarsma; Eelke Jongejans; Elza Duijm; Carolien van der Graaf; Youri Lammers; Milan Sharma; Henk Siepel; Barbara Gravendeel,N/A
10.3390/genes11030296,2020,detection error; eDNA capture; eDNA detection; eDNA extraction; environmental DNA; genetic marker; water sampling,"Animals; Dna Barcoding, Taxonomic; Dna, Environmental; Fishes; Metagenomics; Reference Standards",N/A,Methods; Standards; Chemistry; Genetics; Classification; Genetics; Methods; Standards,Genes (Basel),N/A,Switzerland,N/A,Lu Shu; Arne Ludwig; Zuogang Peng,N/A
10.1093/aobpla/plac031,2022,DNA barcoding; DNA metabarcoding; environmental DNA (eDNA); molecular ecology; non-destructive biodiversity monitoring; plant conservation; population management,N/A,N/A,N/A,AoB Plants,N/A,England,N/A,Pritam Banerjee; Kathryn A Stewart; Gobinda Dey; Caterina M Antognazza; Raju Kumar Sharma; Jyoti Prakash Maity; Santanu Saha; Hideyuki Doi; Natasha de Vere; Michael W Y Chan; Pin-Yun Lin; Hung-Chun Chao; Chien-Yen Chen,N/A
10.1111/1365-2656.12828,2018,DNA metabarcoding; generalisation; grassland; hoverfly; pollination; pollination networks; specialisation,"Animals; Dna Barcoding, Taxonomic; Dna, Plant; Diptera; Grassland; Magnoliopsida; Pollen; Pollination; Species Specificity; Wales",Pollen; Pollination,Analysis; Physiology; Classification; Physiology,J Anim Ecol,N/A,England,N/A,Andrew Lucas; Owen Bodger; Berry J Brosi; Col R Ford; Dan W Forman; Carolyn Greig; Matthew Hegarty; Penelope J Neyland; Natasha de Vere,N/A
10.1093/aob/mcp031,2009,N/A,"Animals; Flowers; Models, Biological; Phenotype; Pollination; Quantitative Trait, Heritable","Models, Biological",Physiology; Physiology,Ann Bot,N/A,England,N/A,Jeff Ollerton; Ruben Alarcón; Nickolas M Waser; Mary V Price; Stella Watts; Louise Cranmer; Andrew Hingston; Craig I Peter; John Rotenberry,N/A
10.3389/fimmu.2023.1156493,2023,aryl hydrocarbon receptor; benzo[a]pyrene; immunomodulation; indol-3-carbinol; innate immunity; macrophage activation; transcriptomics; type I/II interferons,"Animals; Mice; Anti-Inflammatory Agents; Cytokines; Interferon-Gamma; Ligands; Macrophages; Receptors, Aryl Hydrocarbon; Transcriptome",Interferon-Gamma; Transcriptome,Pharmacology; Metabolism; Metabolism; Metabolism,Front Immunol,N/A,Switzerland,N/A,Johannes R Schmidt; Janine Haupt; Sina Riemschneider; Christoph Kämpf; Dennis Löffler; Conny Blumert; Kristin Reiche; Ulrike Koehl; Stefan Kalkhof; Jörg Lehmann,N/A
10.1093/toxsci/kfr218,2011,N/A,"Animals; Cell Cycle; Cell Proliferation; Gene Expression; Humans; Ligands; Models, Molecular; Polychlorinated Dibenzodioxins; Protein Binding; Receptors, Aryl Hydrocarbon; Receptors, Cytoplasmic And Nuclear; Signal Transduction; Species Specificity","Receptors, Aryl Hydrocarbon",Pharmacokinetics; Toxicity; Chemistry; Genetics; Metabolism; Physiology; Metabolism,Toxicol Sci,N/A,United States,R01 ES012498; ES007685; P42 ES004699; ES012498; ES004699; R01 ES007685,Michael S Denison; Anatoly A Soshilov; Guochun He; Danica E DeGroot; Bin Zhao,N/A
10.1016/j.tox.2005.09.006,2006,N/A,"Anesthetics, Intravenous; Animals; Blood Gas Analysis; Body Temperature; Carbon Dioxide; Coma; Female; Hypothermia; Lethal Dose 50; Oxygen; Oxygen Consumption; Rats; Succinic Acid; Thiopental; Time Factors",Body Temperature,Toxicity; Physiology; Blood; Chemically Induced; Prevention & Control; Physiopathology; Prevention & Control; Blood; Therapeutic Use; Toxicity,Toxicology,N/A,Ireland,N/A,Jury Ju Ivnitsky; Vladimir L Rejniuk; Timur V Schäfer; Vladimir N Malakhovsky,N/A
10.3389/fgene.2022.886494,2022,connectivity; conservation planning; environmental DNA (eDNA); marine conservation; metabarcoding; population genomics,N/A,N/A,N/A,Front Genet,N/A,Switzerland,N/A,Nicholas W Jeffery; Sarah J Lehnert; Tony Kess; Kara K S Layton; Brendan F Wringe; Ryan R E Stanley,N/A
10.1126/sciadv.aaq0929,2018,N/A,Atlantic Ocean; Climate Change; Cluster Analysis; Ecosystem; Geography; Principal Component Analysis; Probability; Species Specificity; Temperature,Climate Change; Ecosystem,N/A,Sci Adv,N/A,United States,N/A,Ryan R E Stanley; Claudio DiBacco; Ben Lowen; Robert G Beiko; Nick W Jeffery; Mallory Van Wyngaarden; Paul Bentzen; David Brickman; Laura Benestan; Louis Bernatchez; Catherine Johnson; Paul V R Snelgrove; Zeliang Wang; Brendan F Wringe; Ian R Bradbury,N/A
10.1073/pnas.1216128109,2012,N/A,"Adaptation, Physiological; Animals; Atlantic Ocean; Computer Simulation; Exome; Fishes; Gene Frequency; Genetic Loci; Genetics, Population; Genome; Genotyping Techniques; Geography; Polymorphism, Single Nucleotide; Sequence Analysis, Dna; Specimen Handling; Transcriptome","Sequence Analysis, Dna",Genetics; Genetics; Genetics; Genetics; Genetics; Genetics; Genetics; Genetics,Proc Natl Acad Sci U S A,N/A,United States,N/A,Sangeet Lamichhaney; Alvaro Martinez Barrio; Nima Rafati; Görel Sundström; Carl-Johan Rubin; Elizabeth R Gilbert; Jonas Berglund; Anna Wetterbom; Linda Laikre; Matthew T Webster; Manfred Grabherr; Nils Ryman; Leif Andersson,N/A
10.1186/s13104-023-06495-9,2023,Honey; ITS2; Metabarcoding; NCBI; OTU; Sequencing,"Bees; Animals; Honey; Ecosystem; Dna, Environmental; Pollen; Metagenomics","Honey; Dna, Environmental",Genetics; Genetics,BMC Res Notes,N/A,England,N/A,Nurul Huda; Saeed Ullah; Roswanira Abdul Wahab; Mohd Nizam Lani; Nur Hardy Abu Daud; Amir Husni Mohd Shariff; Norjihada Izzah Ismail; Azzmer Azzar Abdul Hamid; Mohd Azrul Naim Mohamad; Fahrul Huyop,N/A
10.7717/peerj.11753,2021,Agricultural expansion; Environmental DNA; Metabarcoding; National Park; Plant diversity,N/A,N/A,N/A,PeerJ,N/A,United States,N/A,Maslin Osathanunkul; Nipitpong Sawongta; Wittaya Pheera; Nikolaos Pechlivanis; Fotis Psomopoulos; Panagiotis Madesis,N/A
10.1038/s41598-020-67452-1,2020,N/A,"Dna, Environmental; Dna, Plant; France; Geologic Sediments; Lakes; Plants; Soil",N/A,Analysis; Genetics; Chemistry; Genetics; Chemistry,Sci Rep,N/A,England,N/A,Anthony Foucher; Olivier Evrard; G Francesco Ficetola; Ludovic Gielly; Julie Poulain; Charline Giguet-Covex; J Patrick Laceby; Sébastien Salvador-Blanes; Olivier Cerdan; Jérôme Poulenard,N/A
10.1002/ece3.70022,2024,biological communities; environmental DNA; game animal; occupancy model; site use; wildlife survey,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Sasha J Tetzlaff; Aron D Katz; Patrick J Wolff; Matthew E Kleitch,N/A
10.1038/s41598-020-73648-2,2020,N/A,"Animals; Biodiversity; Conservation Of Natural Resources; Dna Barcoding, Taxonomic; Endangered Species; Environmental Monitoring; Fishes; High-Throughput Nucleotide Sequencing; Porpoises",Biodiversity; Endangered Species; Porpoises,Methods; Methods; Genetics,Sci Rep,N/A,England,N/A,Chanjuan Qu; Kathryn A Stewart; Rute Clemente-Carvalho; Jinsong Zheng; Yuxiang Wang; Cheng Gong; Limin Ma; Jianfu Zhao; Stephen C Lougheed,N/A
10.3390/biology12091245,2023,18S V9; Corbicula fluminea; conventional field survey; eDNA metabarcoding; next-generation sequencing,N/A,N/A,N/A,Biology (Basel),N/A,Switzerland,NRF- 2020R1C1C1009066,Kanghui Kim; Gea-Jae Joo; Kwang-Seuk Jeong; Jeong-Soo Gim; Yerim Lee; Donghyun Hong; Hyunbin Jo,N/A
10.1371/journal.pone.0058076,2013,N/A,"Animals; Coral Reefs; Dna Barcoding, Taxonomic; Dna Primers; Dna Restriction Enzymes; Diet; Fishes; Food Chain; Gastrointestinal Contents; Phylogeny; Polymerase Chain Reaction; Predatory Behavior",Diet; Food Chain; Gastrointestinal Contents; Predatory Behavior,Methods; Classification; Chemistry; Methods,PLoS One,N/A,United States,N/A,Matthieu Leray; Natalia Agudelo; Suzanne C Mills; Christopher P Meyer,N/A
10.1371/journal.pone.0032079,2012,N/A,Animals; Anthozoa; Decapoda; Host-Parasite Interactions; Species Specificity; Symbiosis,Host-Parasite Interactions,Growth & Development; Parasitology; Physiology; Physiology,PLoS One,N/A,United States,N/A,Adrian C Stier; Michael A Gil; C Seabird McKeon; Sarah Lemer; Matthieu Leray; Suzanne C Mills; Craig W Osenberg,N/A
10.1073/pnas.96.4.1463,1999,N/A,"Ecosystem; Environment; Mathematics; Models, Biological; Models, Statistical; Population Density; Probability; Species Specificity","Ecosystem; Environment; Models, Biological",N/A,Proc Natl Acad Sci U S A,N/A,United States,N/A,S Yachi; M Loreau,N/A
10.3897/BDJ.7.e37518,2019,French Guiana; South America; environmental genomics; metabarcoding,N/A,N/A,N/A,Biodivers Data J,N/A,Bulgaria,N/A,Jérôme Murienne; Isabel Cantera; Axel Cerdan; Kévin Cilleros; Jean-Baptiste Decotte; Tony Dejean; Régis Vigouroux; Sébastien Brosse,N/A
10.1002/ece3.7139,2021,16S; COI; ITS; biomonitoring; biosurveillance; eDNA metabarcoding; invasive alien species; salt trap solution,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Yoamel Milián-García; Robert Young; Mary Madden; Erin Bullas-Appleton; Robert H Hanner,N/A
10.3389/fvets.2021.765606,2021,eDNA; environment; eukaryote; high-throughput sequencing; metabarcoding; pathogens,N/A,N/A,N/A,Front Vet Sci,N/A,Switzerland,N/A,Raquel Ríos-Castro; Alejandro Romero; Raquel Aranguren; Alberto Pallavicini; Elisa Banchi; Beatriz Novoa; Antonio Figueras,N/A
10.1111/1755-0998.13512,2022,Illumina sequencing; amplicon sequencing; biodiversity assessment; eDNA; environmental DNA; high-throughput sequencing; library preparation,"Biodiversity; Dna Barcoding, Taxonomic; Dna Primers; Gene Library; Polymerase Chain Reaction","Biodiversity; Dna Barcoding, Taxonomic",Methods; Genetics,Mol Ecol Resour,N/A,England,27826,Kristine Bohmann; Vasco Elbrecht; Christian Carøe; Iliana Bista; Florian Leese; Michael Bunce; Douglas W Yu; Mathew Seymour; Alex J Dumbrell; Simon Creer,N/A
10.1002/ece3.9457,2022,environmental DNA; fire regime; pyrodiversity; resource selection; scat,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Saumya Wanniarachchi; Matthew Swan; Paul Nevil; Alan York,N/A
10.1002/ece3.3638,2018,CO1; blocking primer; diet; feral swine; metabarcoding; trnL,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Michael S Robeson; Kamil Khanipov; George Golovko; Samantha M Wisely; Michael D White; Michael Bodenchuck; Timothy J Smyser; Yuriy Fofanov; Noah Fierer; Antoinette J Piaggio,N/A
10.7717/peerj.2444,2016,Environmental impact assessment; Estuarine; Marine; Metabarcoding; Metagenomics; Molecular ecology,N/A,N/A,N/A,PeerJ,N/A,United States,N/A,Ryan P Kelly; James L O'Donnell; Natalie C Lowell; Andrew O Shelton; Jameal F Samhouri; Shannon M Hennessey; Blake E Feist; Gregory D Williams,N/A
10.1002/ece3.6362,2020,arthropod; bat; environmental DNA; high‐throughput sequencing; predator feeding,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Orianne Tournayre; Maxime Leuchtmann; Ondine Filippi-Codaccioni; Marine Trillat; Sylvain Piry; Dominique Pontier; Nathalie Charbonnel; Maxime Galan,N/A
10.1002/ece3.7113,2021,Lindgren funnel traps; cytochrome c oxidase subunit 1; environmental DNA; forest; introduced species; molecular identification; plant pest; salt buffer,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Robert G Young; Yoamel Milián-García; Jaeju Yu; Erin Bullas-Appleton; Robert H Hanner,N/A
10.3897/BDJ.12.e116921,2024,cytochrome c oxidase I gene; eukaryota; metabarcoding; river ecosystem; species occurrence,N/A,N/A,N/A,Biodivers Data J,N/A,Bulgaria,N/A,Chieh-Ping Lin; Chung-Hsin Huang; Trevor Padgett; Mark Angelo C Bucay; Cheng-Wei Chen; Zong-Yu Shen; Ling Chiu; Yung-Che Tseng; Jr-Kai Yu; John Wang; Min-Chen Wang; Daphne Z Hoh,N/A
10.3390/plants12122383,2023,environmental DNA (eDNA); fungal pathogens; internal transcribed spacer (ITS); metabarcoding; mock communities; walnut dieback,N/A,N/A,N/A,Plants (Basel),N/A,Switzerland,#1797; 2020 CDE EGAAL; CASDAR funds - AAP RT 2020 - CARIBOU project,Marie Belair; Flora Pensec; Jean-Luc Jany; Gaétan Le Floch; Adeline Picot,N/A
10.1371/journal.pbio.1002352,2016,N/A,Arabidopsis; Bacteria; Basidiomycota; Endophytes; Microbiota; Oomycetes,Microbiota,Genetics; Microbiology; Physiology; Physiology; Physiology,PLoS Biol,N/A,United States,N/A,Matthew T Agler; Jonas Ruhe; Samuel Kroll; Constanze Morhenn; Sang-Tae Kim; Detlef Weigel; Eric M Kemen,N/A
10.3767/003158509X457931,2009,Albuginales; effector gene; oospore morphology; phylogeny; plant pathogen; speciation,N/A,N/A,N/A,Persoonia,N/A,Netherlands,BBS/E/H/00EH0226,M Thines; Y-J Choi; E Kemen; S Ploch; E B Holub; H-D Shin; J D G Jones,N/A
10.1105/tpc.107.051037,2007,N/A,"Algal Proteins; Algorithms; Amino Acid Motifs; Amino Acid Sequence; Biological Evolution; Cluster Analysis; Eukaryotic Cells; Host-Parasite Interactions; Likelihood Functions; Molecular Sequence Data; Oomycetes; Phytophthora; Plants; Protein Structure, Tertiary; Selection, Genetic; Sequence Homology, Amino Acid",Biological Evolution,Chemistry; Metabolism; Metabolism; Genetics; Metabolism; Microbiology,Plant Cell,N/A,England,N/A,Joe Win; William Morgan; Jorunn Bos; Ksenia V Krasileva; Liliana M Cano; Angela Chaparro-Garcia; Randa Ammar; Brian J Staskawicz; Sophien Kamoun,N/A
10.1093/molbev/msw267,2017,Asia.; India; Megophryidae; amphibian; biogeography; phylogenetics; taxonomy; timetree,"Animals; Anura; Bayes Theorem; Biological Evolution; Classification; Dna, Ancient; Fossils; Genes, Mitochondrial; Phylogeny; Phylogeography",N/A,Genetics; Methods; Analysis; Genetics; Methods,Mol Biol Evol,N/A,United States,N/A,Stephen Mahony; Nicole M Foley; S D Biju; Emma C Teeling,N/A
10.1371/journal.pone.0208592,2018,N/A,"Animals; Biodiversity; Cytochromes B; Dna; Dna Barcoding, Taxonomic; Databases, Genetic; Environmental Monitoring; Fishes; Gene Library; Rna, Ribosomal","Dna Barcoding, Taxonomic; Environmental Monitoring",Genetics; Isolation & Purification; Metabolism; Classification; Genetics; Genetics,PLoS One,N/A,United States,N/A,Benjamin Gillet; Maud Cottet; Thibault Destanque; Kaoboun Kue; Stéphane Descloux; Vincent Chanudet; Sandrine Hughes,N/A
10.1371/journal.pone.0195403,2018,N/A,"Dna Barcoding, Taxonomic; Dna, Plant; Environmental Monitoring; Geologic Sediments; Lakes; Plants; Sequence Analysis, Dna",N/A,Methods; Analysis; Genetics; Isolation & Purification; Methods; Analysis; Chemistry; Classification; Genetics; Methods,PLoS One,N/A,United States,N/A,Inger Greve Alsos; Youri Lammers; Nigel Giles Yoccoz; Tina Jørgensen; Per Sjögren; Ludovic Gielly; Mary E Edwards,N/A
