DOI,Year,Keywords,MeSH Terms,Major Topics,Subheadings
10.7717/peerj.15163,2023,Arthropods; Benthic invertebrates; Biomonitoring; Freshwater streams; Metabarcoding; Water quality; eDNA,"Animals; Dna, Environmental; Rivers; Arthropods; Matched-Pair Analysis; Dna Barcoding, Taxonomic; Invertebrates","Dna, Environmental; Arthropods",Methods
10.1371/journal.pone.0165252,2016,N/A,Animals; Arctic Regions; Dna; Fisheries; Fishes; Geography; Greenland; Seawater,Fisheries,Analysis; Physiology; Analysis
10.1038/s41598-024-60917-7,2024,DNA-metabarcoding; Longlining; Marine fisheries; eDNA,"Fisheries; Animals; Dna, Environmental; Australia; Tuna; Fishes; Ships","Fisheries; Dna, Environmental",Genetics; Analysis; Genetics; Genetics
10.3390/foods10061425,2021,commercial fishing; environmental samples; metabarcoding; seafood; species identification; traceability; tuna,N/A,N/A,N/A
10.1016/j.ecolind.2019.04.088,2019,Aquatic life use; Bioassessment; Biological impairment; Taxonomy; eDNA,N/A,N/A,N/A
10.1016/j.jenvman.2017.07.045,2017,DNA-based taxonomy; Early-detection monitoring; Morphological taxonomy; Survey design; Uncertainty characterization,Animals; Dna; Environmental Monitoring; Great Lakes Region; Introduced Species; Lakes; Risk Assessment,Introduced Species,N/A
10.1111/mec.13481,2016,biodiversity; eDNA; fish; metabarcoding; monitoring; next generation sequencing,"Animals; Biodiversity; California; Dna Barcoding, Taxonomic; Ecosystem; Environmental Monitoring; Fishes; Kelp; Mammals; Rna, Ribosomal; Vertebrates",Biodiversity; Kelp,Methods; Classification; Genetics; Classification; Genetics; Genetics; Classification; Genetics
10.1371/journal.pone.0198717,2018,N/A,"Animals; Aquatic Organisms; Bottle-Nosed Dolphin; Dna; Dna Barcoding, Taxonomic; Ecosystem; Fishes; Polymerase Chain Reaction",Ecosystem,Genetics; Genetics; Analysis; Methods; Genetics; Methods
10.1126/sciadv.abk0097,2022,N/A,"Animals; Biodiversity; Dna, Environmental; Ecosystem; Fishes; Urbanization","Dna, Environmental",N/A
10.1038/s41598-020-64858-9,2020,N/A,"Biodiversity; Biota; Coral Reefs; Dna Barcoding, Taxonomic; Dna, Environmental; Dna, Ribosomal Spacer; Environmental Monitoring; Genetic Markers; Oceans And Seas; Rna, Ribosomal, 18S; Seawater; Spatio-Temporal Analysis",Biodiversity,Genetics; Genetics; Isolation & Purification; Genetics; Isolation & Purification; Methods; Genetics; Genetics
10.1111/mec.15484,2020,CCZ; abyssal plains; deep sea mining; meiofauna; metabarcoding; polymetallic nodules,"Animals; Biodiversity; Dna, Environmental; Ecosystem; Invertebrates; Mining","Dna, Environmental",N/A
10.3897/BDJ.8.e56876,2020,biological invasion; competitive exclusion principle; metabarcoding; native salmonids; seasonal change,N/A,N/A,N/A
10.7717/peerj.4521,2018,Ecological communities; Metabarcoding; eDNA,N/A,N/A,N/A
10.1038/s41598-020-77304-7,2020,N/A,"Animals; Biodiversity; Dna; Dna, Environmental; Ecosystem; Environmental Monitoring; Filtration; Hydrobiology; Metagenomics; Water",N/A,Genetics; Isolation & Purification; Genetics; Isolation & Purification; Methods; Methods; Methods; Methods; Analysis
10.1038/s41598-018-37186-2,2019,N/A,N/A,N/A,N/A
10.1038/srep06561,2014,N/A,"Air Pollutants; Disease Susceptibility; Environmental Monitoring; Humans; Lung Neoplasms; Models, Theoretical; Motor Vehicles; Polycyclic Aromatic Hydrocarbons; Risk Factors",N/A,Toxicity; Chemically Induced; Epidemiology; Pathology; Toxicity
10.1073/pnas.0905756106,2009,N/A,China; Humans; Industrial Waste; Inhalation Exposure; Lung Neoplasms; Monte Carlo Method; Polycyclic Aromatic Hydrocarbons; Risk,N/A,Epidemiology; Analysis; Epidemiology; Etiology; Adverse Effects; Analysis
10.1038/ncomms12544,2016,N/A,"Biodiversity; Dna; Dna Barcoding, Taxonomic; Environmental Monitoring; Eukaryota; Rivers",Biodiversity; Rivers,Genetics; Methods; Methods; Genetics
10.1002/ece3.11337,2024,biodiversity; biomonitoring; coral reef; diffusion; environmental DNA; scattered islands,N/A,N/A,N/A
10.1371/journal.pone.0045013,2012,N/A,Animals; Anthozoa; Biodiversity; Cluster Analysis; Coral Reefs; Data Collection; Indian Ocean; Phylogeography; Species Specificity; Water Movements,Biodiversity; Coral Reefs; Phylogeography,Physiology
10.1098/rsbl.2008.0454,2008,N/A,"Animals; Anthozoa; Dna, Mitochondrial; Ecosystem; Electron Transport Complex Iv; Pacific Ocean; Phylogeny; Population Dynamics; Starfish",N/A,Genetics; Genetics; Genetics
10.1371/journal.pone.0243363,2021,N/A,"Archaea; Bacteria; Biodiversity; Carbon Cycle; Dna, Environmental; Metabolic Networks And Pathways; New Zealand; Principal Component Analysis; Prokaryotic Cells; Rna, Ribosomal, 16S; Wetlands",Metabolic Networks And Pathways; Wetlands,Classification; Metabolism; Classification; Metabolism; Analysis; Metabolism; Genetics
10.1038/s41598-021-86396-8,2021,N/A,"Animals; Biodiversity; Biomarkers; Dna, Environmental; Environmental Monitoring; Geologic Sediments; Mediterranean Sea",Biodiversity,Analysis; Analysis; Methods; Analysis
10.7717/peerj.10231,2020,16S rRNA gene; 18S rRNA gene; Benthic monitoring; DNA extraction; Environmental DNA; Metabarcoding,N/A,N/A,N/A
10.7554/eLife.78521,2022,arthropods; ecology; environmental DNA; genetics; genomics; insect decline; metabarcoding,"Animals; Arthropods; Dna, Environmental; Biodiversity; Forests; Insecta; Ecosystem","Arthropods; Dna, Environmental",N/A
10.7717/peerj.3044,2017,Environmental monitoring; Estuarine; Marine; Metabarcoding; Metagenomics; Molecular ecology,N/A,N/A,N/A
10.1371/journal.pone.0287567,2023,N/A,"Dna, Environmental; Metagenomics; Airports; Biomass; Built Environment","Dna, Environmental",Genetics
10.1371/journal.pone.0262357,2022,N/A,"Animals; Biodiversity; Brazil; Conservation Of Natural Resources; Dna Barcoding, Taxonomic; Dna, Environmental; Ecosystem; Environmental Monitoring; Fishes; Seasons",Biodiversity; Conservation Of Natural Resources; Ecosystem,Methods; Analysis; Genetics; Methods; Genetics; Growth & Development
10.1098/rstb.2023.0123,2024,Earth observation; biodiversity indices; environmental DNA; forestry; machine learning; systematic conservation planning,"Arthropods; Biodiversity; Animals; Dna, Environmental; Remote Sensing Technology; Forests; Animal Distribution; Dna Barcoding, Taxonomic","Arthropods; Biodiversity; Dna, Environmental; Remote Sensing Technology",Classification; Analysis; Methods; Methods
10.1111/jpy.13196,2021,Eustigmatophyceae; algal diversity; community structure; environmental DNA; metabarcoding; species diversity,"Dna Barcoding, Taxonomic; Dna, Ribosomal; Rna, Ribosomal; Stramenopiles","Dna Barcoding, Taxonomic; Stramenopiles",Genetics
10.1093/molbev/msy096,2018,N/A,"Evolution, Molecular; Genetic Techniques; Phylogeny; Software","Evolution, Molecular; Genetic Techniques; Software",N/A
10.1098/rsos.240724,2024,deep sea; diversity; global abundance; metabarcoding; metagenome; metazoan,N/A,N/A,N/A
10.1038/s41598-019-48546-x,2019,N/A,"Animals; Biodiversity; Biomass; Computer Simulation; Dna Barcoding, Taxonomic; Dna, Environmental; Metagenomics; Models, Theoretical; Polymerase Chain Reaction",N/A,Methods; Analysis; Methods; Methods
10.1038/s41598-021-89903-z,2021,N/A,"Animal Nutritional Physiological Phenomena; Animals; Computational Biology; Dna, Environmental; Ecology; Ecosystem; Environment; Female; Food Chain; High-Throughput Nucleotide Sequencing; Male; Population Dynamics; Radioactive Tracers; Seasons; Sharks",Animal Nutritional Physiological Phenomena; Ecosystem; Food Chain; Sharks,Methods
10.1371/journal.pone.0049220,2012,N/A,"Animal Migration; Animals; Carbon Isotopes; Diet; Half-Life; Liver; Muscle Fibers, Fast-Twitch; Nitrogen Isotopes; Tuna",Animal Migration,Chemistry; Metabolism; Metabolism; Metabolism; Chemistry; Metabolism; Growth & Development; Metabolism
10.1371/journal.pone.0021357,2011,N/A,Animals; Blood Cells; Carbon Isotopes; Diet; Female; Foxes; Half-Life; Isotope Labeling; Male; Nitrogen Isotopes; Organ Specificity; Population Dynamics,N/A,Metabolism; Blood; Blood; Metabolism; Methods; Blood
10.1136/bmj.292.6522.746,1986,N/A,Adult; Blood Pressure; Clinical Trials As Topic; Diabetes Mellitus; Humans; Middle Aged; Probability; Statistics As Topic,N/A,Physiopathology; Methods
10.1002/ece3.6921,2020,PCR; eDNA; early detection; invasive non‐native species; metabarcoding; qPCR; targeted assay,N/A,N/A,N/A
10.1038/s42003-024-06695-4,2024,N/A,"Porifera; Animals; Biodiversity; Dna Barcoding, Taxonomic; Atlantic Ocean; Dna, Environmental; Ecosystem","Porifera; Biodiversity; Dna Barcoding, Taxonomic",Genetics; Classification; Methods; Analysis
10.7717/peerj.6160,2019,Benchmark; Bioinformatics; Metabarcoding; Metabenchmark; Metagenomics; eDNA,N/A,N/A,N/A
10.1371/journal.pone.0298440,2024,N/A,"Phylogeny; Dna, Environmental; Dna, Ribosomal; Databases, Factual; Foraminifera; Water","Dna, Environmental; Foraminifera",Genetics
10.1186/s40168-018-0521-5,2018,16S rRNA gene sequencing; Classification; ITS sequencing; Microbiome; Reference taxonomy; Taxonomic assignment,"Bacteria; Dna Barcoding, Taxonomic; Machine Learning; Metagenomics; Microbiota; Phylogeny; Rna, Ribosomal, 16S; Software",N/A,Classification; Genetics; Methods; Methods; Genetics
10.1038/s41598-020-59620-0,2020,N/A,"Agaricales; Base Sequence; Biodiversity; Confidence Intervals; Dna Barcoding, Taxonomic; Forests; Linear Models; Phylogeny; Seasons; Wood",Biodiversity; Phylogeny,Classification; Methods; Microbiology
10.3767/003158509X468443,2009,Dacrymycetes; Japanese species; molecular phylogeny; new species; taxonomy,N/A,N/A,N/A
10.1016/j.yjmcc.2007.07.045,2007,N/A,"Adrenergic Beta-Antagonists; Animals; Cardiac Myosins; Cardiomegaly; Chromatin Assembly And Disassembly; Diabetes Complications; Diabetes Mellitus; Gene Expression Regulation; Heart Failure; Humans; Micrornas; Models, Biological; Myosin Heavy Chains; Protein Isoforms; Receptors, Adrenergic, Beta; Thyroid Hormones; Tissue Distribution",N/A,Pharmacology; Genetics; Metabolism; Physiology; Enzymology; Etiology; Genetics; Metabolism; Genetics; Metabolism; Metabolism; Drug Effects; Enzymology; Etiology; Genetics; Metabolism; Physiology; Genetics; Genetics; Metabolism; Physiology; Pharmacology
10.3389/fmicb.2021.637811,2021,aquaculture disturbance; bacterial community composition; bacterial diversity; community shifts; environmental DNA metabarcoding; environmental monitoring; organic enrichment; salmon farming,N/A,N/A,N/A
10.1038/s41396-019-0427-7,2019,N/A,"Bacteria; Dna, Bacterial; Ecosystem; Lakes; Microbiota; Phylogeny; Rna, Ribosomal, 16S",Microbiota,Classification; Genetics; Isolation & Purification; Genetics; Microbiology; Genetics
10.7717/peerj.12157,2021,Anguilla; Environmental DNA; High-throughput sequencing; Metabarcoding; droplet digital PCR; eDNA,N/A,N/A,N/A
10.1038/s41598-018-27434-w,2018,N/A,Animals; Dna; Japan; Multiplex Polymerase Chain Reaction; Oryzias; Real-Time Polymerase Chain Reaction; Species Specificity,N/A,Analysis; Genetics; Methods; Genetics; Methods
10.1038/s41598-020-62555-1,2020,N/A,"Cyanobacteria; Dna Barcoding, Taxonomic; Dna, Environmental; Databases, Nucleic Acid; Eukaryota; Photosynthesis; Plastids; Rna, Ribosomal, 23S; Soil","Databases, Nucleic Acid",Classification; Genetics; Genetics; Isolation & Purification; Classification; Genetics; Genetics; Genetics; Chemistry
10.1186/1471-2229-10-258,2010,N/A,"Biodiversity; Electron Transport Complex Iv; Geography; Hawaii; Phylogeny; Rna, Ribosomal, 28S; Rhodophyta; Species Specificity",Biodiversity; Phylogeny,Classification; Genetics; Classification; Genetics; Classification; Genetics; Growth & Development
10.1093/nar/22.22.4673,1994,N/A,"Algorithms; Amino Acid Sequence; Globins; Molecular Sequence Data; Protein Structure, Secondary; Proteins; Sensitivity And Specificity; Sequence Alignment; Software",Algorithms; Amino Acid Sequence,Genetics; Chemistry; Genetics; Methods
10.1002/ece3.10999,2024,biodiversity survey; eDNA; eukaryotes; fishes; metabarcoding,N/A,N/A,N/A
10.1371/journal.pone.0250783,2021,N/A,"Lakes; Geologic Sediments; Rna, Ribosomal, 16S; Bacteria; Dna, Environmental; Microbiota; Dna, Bacterial; Biodiversity; Dna Barcoding, Taxonomic","Lakes; Geologic Sediments; Rna, Ribosomal, 16S; Bacteria",Microbiology; Microbiology; Genetics; Genetics; Classification; Genetics; Analysis; Genetics; Genetics; Methods
10.1038/s41598-020-75452-4,2020,N/A,"Animals; Biodiversity; Costa Rica; Dna Barcoding, Taxonomic; Dna, Environmental; Forests; Invertebrates; Soil; Tropical Climate","Biodiversity; Dna Barcoding, Taxonomic; Forests; Invertebrates; Soil",N/A
10.1073/pnas.1220608110,2013,N/A,Agriculture; Animals; Bacteria; Biodiversity; Brazil; Cattle; Ecosystem; Humans; Phylogeny; Rain; Soil Microbiology; Trees; Tropical Climate,Agriculture; Biodiversity; Soil Microbiology; Tropical Climate,Classification; Genetics; Isolation & Purification
10.3390/biology11091297,2022,biodiversity conservation; community characterization; environmental DNA; soil eDNA; terrestrial ecosystems,N/A,N/A,N/A
10.1093/femsle/fnx155,2017,PPTase; Streptomyces albus; eDNA; environmental DNA; functional metagenomics; myxochelin,"Bacterial Proteins; Biological Products; Cloning, Molecular; Cosmids; Escherichia Coli; Genes, Bacterial; Genetic Complementation Test; Genomic Library; Metagenome; Metagenomics; Multigene Family; Peptide Synthases; Phylogeny; Piperidones; Soil Microbiology; Streptomyces; Transferases (Other Substituted Phosphate Groups)","Genes, Bacterial; Multigene Family",Classification; Genetics; Methods; Genetics; Genetics; Genetics; Metabolism; Genetics; Classification; Genetics
10.1038/ncomms14087,2017,N/A,"Bacteria; Biodiversity; Dna; Dna Barcoding, Taxonomic; Lakes",N/A,Classification; Genetics; Isolation & Purification; Genetics; Chemistry; Microbiology
10.7717/peerj.3347,2017,Bacteria (16S); Benthic ecology; Biomonitoring; Eukaryotes (18S); High-throughput sequencing; Method testing; Oil and gas activities; eDNA; eRNA,N/A,N/A,N/A
10.1038/ismej.2013.102,2013,N/A,"Bacteria; Ecology; Ecosystem; Environmental Microbiology; Microbiota; Rna, Ribosomal",Ecosystem; Environmental Microbiology,Genetics; Growth & Development; Metabolism; Methods; Trends; Genetics; Metabolism
10.1186/s13742-015-0086-1,2015,Biodiversity assessment; Environmental DNA; Genomic observatory; Metabarcoding,Animals; Biodiversity; Dna; Multigene Family,Biodiversity; Multigene Family,Genetics
10.1186/s12859-019-2663-2,2019,Amplicon sequencing; High-throughput sequencing; Molecular ecology; Pipeline; Reproducibility; eDNA metabarcoding,"Algorithms; Dna Barcoding, Taxonomic; Internet; Reproducibility Of Results; Software; User-Computer Interface",Internet; Software,Methods
10.1093/cz/zoab094,2022,Andrias davidianus; Chinese giant salamander; eDNA; metabarcoding; population survey,N/A,N/A,N/A
10.1002/aps3.1155,2018,ITS2; Ontario; Potamogetonaceae; aquatic plants; atpB‐rbcL; eDNA metabarcoding,N/A,N/A,N/A
10.1002/ece3.70110,2024,IBMWP; bulk samples; eDNA; ecological status; exotic species; macroinvertebrates,N/A,N/A,N/A
10.1038/s41598-017-17150-2,2017,N/A,"Animals; Biodiversity; Caribbean Region; Conservation Of Natural Resources; Dna Barcoding, Taxonomic; Dna, Ribosomal; Ecosystem; Elasmobranchii; Electron Transport Complex Iv; Gene Library; Seawater; Sequence Analysis, Dna",Biodiversity,Methods; Chemistry; Genetics; Metabolism; Classification; Genetics; Genetics; Chemistry
10.3389/fpls.2023.1106617,2023,TRNL; distribution; diversity; environmental DNA; molecular methods; plant; soil,N/A,N/A,N/A
10.1093/bioinformatics/btr507,2011,N/A,"Chromosomes, Human, Pair 14; Genome; Genomics; Humans; Sequence Analysis, Dna; Software; Staphylococcus Aureus","Sequence Analysis, Dna; Software",Methods; Genetics
10.3389/fpls.2019.01763,2019,Pasteuria; biocontrol; ecology; metabarcoding; nematode,N/A,N/A,N/A
10.3389/fmicb.2014.00358,2014,MGRAST; co-occurrence; community assembly; microbial communities; network theory,N/A,N/A,N/A
10.1038/ismej.2011.24,2011,N/A,"Alveolata; Ammonia; Archaea; Bacteria; California; Marine Biology; Oceans And Seas; Plankton; Polymerase Chain Reaction; Seawater; Sequence Analysis, Dna; Stramenopiles",N/A,Classification; Genetics; Isolation & Purification; Metabolism; Metabolism; Classification; Genetics; Isolation & Purification; Metabolism; Classification; Genetics; Isolation & Purification; Metabolism; Classification; Isolation & Purification; Metabolism; Microbiology; Parasitology; Classification; Genetics; Isolation & Purification; Metabolism
10.1016/j.ese.2024.100409,2024,Community assembly mechanism; Community stability; Ecological network; Ecological water replenishment; Succession,N/A,N/A,N/A
10.1038/s41396-019-0417-9,2019,N/A,Biomass; Cyanobacteria; Ecosystem; Eukaryota; Eutrophication; Phylogeny; Plankton,N/A,Classification; Genetics; Growth & Development; Isolation & Purification; Classification; Genetics; Growth & Development; Isolation & Purification; Classification; Genetics; Growth & Development; Isolation & Purification
10.1038/ncomms14349,2017,N/A,Bacteria; Biomass; Biota; Carbon; Environmental Restoration And Remediation; Food Chain; Fungi; Soil; Soil Microbiology,Biomass; Food Chain; Soil Microbiology,Metabolism; Physiology; Chemistry; Metabolism; Chemistry
10.1371/journal.pone.0148130,2016,N/A,Fungi; Microbiota; Soil; Soil Microbiology,Soil; Soil Microbiology,Physiology; Physiology
10.1007/s13225-010-0053-1,2010,Agricultural soil; Diversity; Fungal communities; SCGI; Soil clone group I,N/A,N/A,N/A
10.1128/AEM.02874-09,2010,N/A,"Bacteria; Base Sequence; Climate Change; Dna Primers; Dna, Bacterial; Dna, Fungal; Ecosystem; Fungi; Models, Biological; Phylogeny; Rna, Bacterial; Rna, Fungal; Rna, Ribosomal, 16S; Rna, Ribosomal, 28S; Soil Microbiology",Climate Change; Soil Microbiology,Classification; Genetics; Isolation & Purification; Genetics; Genetics; Isolation & Purification; Genetics; Isolation & Purification; Classification; Genetics; Isolation & Purification; Genetics; Genetics; Genetics; Genetics
10.1093/jmammal/gyad096,2023,Chiroptera; Myotis dasycneme; environmental DNA (eDNA); high-throughput sequencing; intraspecific competition; metabarcoding,N/A,N/A,N/A
10.3390/genes11030296,2020,detection error; eDNA capture; eDNA detection; eDNA extraction; environmental DNA; genetic marker; water sampling,"Animals; Dna Barcoding, Taxonomic; Dna, Environmental; Fishes; Metagenomics; Reference Standards",N/A,Methods; Standards; Chemistry; Genetics; Classification; Genetics; Methods; Standards
10.1093/aobpla/plac031,2022,DNA barcoding; DNA metabarcoding; environmental DNA (eDNA); molecular ecology; non-destructive biodiversity monitoring; plant conservation; population management,N/A,N/A,N/A
10.1111/1365-2656.12828,2018,DNA metabarcoding; generalisation; grassland; hoverfly; pollination; pollination networks; specialisation,"Animals; Dna Barcoding, Taxonomic; Dna, Plant; Diptera; Grassland; Magnoliopsida; Pollen; Pollination; Species Specificity; Wales",Pollen; Pollination,Analysis; Physiology; Classification; Physiology
10.1093/aob/mcp031,2009,N/A,"Animals; Flowers; Models, Biological; Phenotype; Pollination; Quantitative Trait, Heritable","Models, Biological",Physiology; Physiology
10.3389/fimmu.2023.1156493,2023,aryl hydrocarbon receptor; benzo[a]pyrene; immunomodulation; indol-3-carbinol; innate immunity; macrophage activation; transcriptomics; type I/II interferons,"Animals; Mice; Anti-Inflammatory Agents; Cytokines; Interferon-Gamma; Ligands; Macrophages; Receptors, Aryl Hydrocarbon; Transcriptome",Interferon-Gamma; Transcriptome,Pharmacology; Metabolism; Metabolism; Metabolism
10.1093/toxsci/kfr218,2011,N/A,"Animals; Cell Cycle; Cell Proliferation; Gene Expression; Humans; Ligands; Models, Molecular; Polychlorinated Dibenzodioxins; Protein Binding; Receptors, Aryl Hydrocarbon; Receptors, Cytoplasmic And Nuclear; Signal Transduction; Species Specificity","Receptors, Aryl Hydrocarbon",Pharmacokinetics; Toxicity; Chemistry; Genetics; Metabolism; Physiology; Metabolism
10.1016/j.tox.2005.09.006,2006,N/A,"Anesthetics, Intravenous; Animals; Blood Gas Analysis; Body Temperature; Carbon Dioxide; Coma; Female; Hypothermia; Lethal Dose 50; Oxygen; Oxygen Consumption; Rats; Succinic Acid; Thiopental; Time Factors",Body Temperature,Toxicity; Physiology; Blood; Chemically Induced; Prevention & Control; Physiopathology; Prevention & Control; Blood; Therapeutic Use; Toxicity
10.3389/fgene.2022.886494,2022,connectivity; conservation planning; environmental DNA (eDNA); marine conservation; metabarcoding; population genomics,N/A,N/A,N/A
10.1126/sciadv.aaq0929,2018,N/A,Atlantic Ocean; Climate Change; Cluster Analysis; Ecosystem; Geography; Principal Component Analysis; Probability; Species Specificity; Temperature,Climate Change; Ecosystem,N/A
10.1073/pnas.1216128109,2012,N/A,"Adaptation, Physiological; Animals; Atlantic Ocean; Computer Simulation; Exome; Fishes; Gene Frequency; Genetic Loci; Genetics, Population; Genome; Genotyping Techniques; Geography; Polymorphism, Single Nucleotide; Sequence Analysis, Dna; Specimen Handling; Transcriptome","Sequence Analysis, Dna",Genetics; Genetics; Genetics; Genetics; Genetics; Genetics; Genetics; Genetics
10.1186/s13104-023-06495-9,2023,Honey; ITS2; Metabarcoding; NCBI; OTU; Sequencing,"Bees; Animals; Honey; Ecosystem; Dna, Environmental; Pollen; Metagenomics","Honey; Dna, Environmental",Genetics; Genetics
10.7717/peerj.11753,2021,Agricultural expansion; Environmental DNA; Metabarcoding; National Park; Plant diversity,N/A,N/A,N/A
10.1038/s41598-020-67452-1,2020,N/A,"Dna, Environmental; Dna, Plant; France; Geologic Sediments; Lakes; Plants; Soil",N/A,Analysis; Genetics; Chemistry; Genetics; Chemistry
10.1002/ece3.70022,2024,biological communities; environmental DNA; game animal; occupancy model; site use; wildlife survey,N/A,N/A,N/A
10.1038/s41598-020-73648-2,2020,N/A,"Animals; Biodiversity; Conservation Of Natural Resources; Dna Barcoding, Taxonomic; Endangered Species; Environmental Monitoring; Fishes; High-Throughput Nucleotide Sequencing; Porpoises",Biodiversity; Endangered Species; Porpoises,Methods; Methods; Genetics
10.3390/biology12091245,2023,18S V9; Corbicula fluminea; conventional field survey; eDNA metabarcoding; next-generation sequencing,N/A,N/A,N/A
10.1371/journal.pone.0058076,2013,N/A,"Animals; Coral Reefs; Dna Barcoding, Taxonomic; Dna Primers; Dna Restriction Enzymes; Diet; Fishes; Food Chain; Gastrointestinal Contents; Phylogeny; Polymerase Chain Reaction; Predatory Behavior",Diet; Food Chain; Gastrointestinal Contents; Predatory Behavior,Methods; Classification; Chemistry; Methods
10.1371/journal.pone.0032079,2012,N/A,Animals; Anthozoa; Decapoda; Host-Parasite Interactions; Species Specificity; Symbiosis,Host-Parasite Interactions,Growth & Development; Parasitology; Physiology; Physiology
10.1073/pnas.96.4.1463,1999,N/A,"Ecosystem; Environment; Mathematics; Models, Biological; Models, Statistical; Population Density; Probability; Species Specificity","Ecosystem; Environment; Models, Biological",N/A
10.3897/BDJ.7.e37518,2019,French Guiana; South America; environmental genomics; metabarcoding,N/A,N/A,N/A
10.1002/ece3.7139,2021,16S; COI; ITS; biomonitoring; biosurveillance; eDNA metabarcoding; invasive alien species; salt trap solution,N/A,N/A,N/A
10.3389/fvets.2021.765606,2021,eDNA; environment; eukaryote; high-throughput sequencing; metabarcoding; pathogens,N/A,N/A,N/A
10.1111/1755-0998.13512,2022,Illumina sequencing; amplicon sequencing; biodiversity assessment; eDNA; environmental DNA; high-throughput sequencing; library preparation,"Biodiversity; Dna Barcoding, Taxonomic; Dna Primers; Gene Library; Polymerase Chain Reaction","Biodiversity; Dna Barcoding, Taxonomic",Methods; Genetics
10.1002/ece3.9457,2022,environmental DNA; fire regime; pyrodiversity; resource selection; scat,N/A,N/A,N/A
10.1002/ece3.3638,2018,CO1; blocking primer; diet; feral swine; metabarcoding; trnL,N/A,N/A,N/A
10.7717/peerj.2444,2016,Environmental impact assessment; Estuarine; Marine; Metabarcoding; Metagenomics; Molecular ecology,N/A,N/A,N/A
10.1002/ece3.6362,2020,arthropod; bat; environmental DNA; high‐throughput sequencing; predator feeding,N/A,N/A,N/A
10.1002/ece3.7113,2021,Lindgren funnel traps; cytochrome c oxidase subunit 1; environmental DNA; forest; introduced species; molecular identification; plant pest; salt buffer,N/A,N/A,N/A
10.3897/BDJ.12.e116921,2024,cytochrome c oxidase I gene; eukaryota; metabarcoding; river ecosystem; species occurrence,N/A,N/A,N/A
10.3390/plants12122383,2023,environmental DNA (eDNA); fungal pathogens; internal transcribed spacer (ITS); metabarcoding; mock communities; walnut dieback,N/A,N/A,N/A
10.1371/journal.pbio.1002352,2016,N/A,Arabidopsis; Bacteria; Basidiomycota; Endophytes; Microbiota; Oomycetes,Microbiota,Genetics; Microbiology; Physiology; Physiology; Physiology
10.3767/003158509X457931,2009,Albuginales; effector gene; oospore morphology; phylogeny; plant pathogen; speciation,N/A,N/A,N/A
10.1105/tpc.107.051037,2007,N/A,"Algal Proteins; Algorithms; Amino Acid Motifs; Amino Acid Sequence; Biological Evolution; Cluster Analysis; Eukaryotic Cells; Host-Parasite Interactions; Likelihood Functions; Molecular Sequence Data; Oomycetes; Phytophthora; Plants; Protein Structure, Tertiary; Selection, Genetic; Sequence Homology, Amino Acid",Biological Evolution,Chemistry; Metabolism; Metabolism; Genetics; Metabolism; Microbiology
10.1093/molbev/msw267,2017,Asia.; India; Megophryidae; amphibian; biogeography; phylogenetics; taxonomy; timetree,"Animals; Anura; Bayes Theorem; Biological Evolution; Classification; Dna, Ancient; Fossils; Genes, Mitochondrial; Phylogeny; Phylogeography",N/A,Genetics; Methods; Analysis; Genetics; Methods
10.1371/journal.pone.0208592,2018,N/A,"Animals; Biodiversity; Cytochromes B; Dna; Dna Barcoding, Taxonomic; Databases, Genetic; Environmental Monitoring; Fishes; Gene Library; Rna, Ribosomal","Dna Barcoding, Taxonomic; Environmental Monitoring",Genetics; Isolation & Purification; Metabolism; Classification; Genetics; Genetics
10.1371/journal.pone.0195403,2018,N/A,"Dna Barcoding, Taxonomic; Dna, Plant; Environmental Monitoring; Geologic Sediments; Lakes; Plants; Sequence Analysis, Dna",N/A,Methods; Analysis; Genetics; Isolation & Purification; Methods; Analysis; Chemistry; Classification; Genetics; Methods
10.1002/ece3.8150,2021,MOTU; biomonitoring; coral reef diversity; environmental DNA; sampling variability; tropical marine ecosystems,N/A,N/A,N/A
10.1002/ece3.7057,2021,eDNA; megafauna; mobile species; pelagic,N/A,N/A,N/A
10.1038/srep13932,2015,N/A,"Animals; Aquatic Organisms; Biodiversity; Computational Biology; Dna Barcoding, Taxonomic; Ecosystem; Environmental Monitoring; High-Throughput Nucleotide Sequencing",Aquatic Organisms; Biodiversity; Ecosystem,Methods
10.1111/nph.14199,2017,environmental DNA (eDNA); lake sediments; metabarcoding; sedimentary DNA (sedDNA); vegetation change,"Dna, Plant; Geography; Geologic Sediments; Introduced Species; Lakes; Models, Theoretical; Pollen; Repetitive Sequences, Nucleic Acid; Scotland; Time Factors; Tracheophyta",Geologic Sediments; Introduced Species; Lakes,Genetics; Genetics; Genetics; Genetics
10.3389/fmicb.2018.03243,2018,arctic vegetation; below-ground processes; fungal functional group; fungal trophic mode; snow fences; snow regime,N/A,N/A,N/A
10.1038/ismej.2013.104,2013,N/A,"Archaea; Bacteria; Bacterial Physiological Phenomena; Biodiversity; California; Desiccation; Fungi; Gene Expression Regulation, Bacterial; Gene Expression Regulation, Fungal; Phylogeny; Rna, Ribosomal, 16S; Rna, Ribosomal, 28S; Seasons; Soil; Soil Microbiology; Water",Bacterial Physiological Phenomena; Biodiversity; Desiccation; Soil Microbiology,Genetics; Physiology; Classification; Genetics; Classification; Genetics; Physiology; Genetics; Genetics; Chemistry; Analysis; Metabolism
